Year,Month,Date,Product Subcategory Name,Product Category,Territory Name,Territory Group,Sales
2007,Jan,01/01/2007,Road Bikes,Bikes,Southwest,North America,209331.74
2007,Jan,01/01/2007,Road Bikes,Bikes,Australia,Pacific,158759.30
2007,Jan,01/01/2007,Road Bikes,Bikes,Canada,North America,146991.00
2007,Jan,01/01/2007,Mountain Bikes,Bikes,Southeast,North America,146339.57
2007,Jan,01/01/2007,Mountain Bikes,Bikes,Northwest,North America,138269.59
2007,Jan,01/01/2007,Road Bikes,Bikes,Northwest,North America,90165.99
2007,Jan,01/01/2007,Mountain Bikes,Bikes,Australia,Pacific,64349.81
2007,Jan,01/01/2007,Mountain Bikes,Bikes,Canada,North America,57564.83
2007,Jan,01/01/2007,Road Bikes,Bikes,Northeast,North America,57096.07
2007,Jan,01/01/2007,Road Bikes,Bikes,United Kingdom,Europe,54373.15
2007,Jan,01/01/2007,Road Bikes,Bikes,Southeast,North America,39056.58
2007,Jan,01/01/2007,Road Bikes,Bikes,Central,North America,28639.09
2007,Jan,01/01/2007,Road Bikes,Bikes,France,Europe,26446.09
2007,Jan,01/01/2007,Mountain Bikes,Bikes,Central,North America,20354.94
2007,Jan,01/01/2007,Mountain Bikes,Bikes,United Kingdom,Europe,16924.95
2007,Jan,01/01/2007,Mountain Bikes,Bikes,Southwest,North America,13499.96
2007,Jan,01/01/2007,Mountain Bikes,Bikes,France,Europe,6799.98
2007,Jan,01/01/2007,Road Bikes,Bikes,Germany,Europe,5675.56
2007,Jan,01/01/2007,Road Frames,Components,Southwest,North America,4874.20
2007,Jan,01/01/2007,Road Frames,Components,Canada,North America,4706.07
2007,Jan,01/01/2007,Mountain Frames,Components,Southeast,North America,4608.10
2007,Jan,01/01/2007,Mountain Frames,Components,Canada,North America,4512.00
2007,Jan,01/01/2007,Mountain Bikes,Bikes,Germany,Europe,3399.99
2007,Jan,01/01/2007,Mountain Frames,Components,Northwest,North America,2254.95
2007,Jan,01/01/2007,Road Frames,Components,Northwest,North America,919.69
2007,Jan,01/01/2007,Road Frames,Components,Northeast,North America,914.33
2007,Jan,01/01/2007,Road Frames,Components,Southeast,North America,908.71
2007,Jan,01/01/2007,Jerseys,Clothing,Southwest,North America,403.77
2007,Jan,01/01/2007,Jerseys,Clothing,Southeast,North America,317.24
2007,Jan,01/01/2007,Jerseys,Clothing,Canada,North America,288.40
2007,Jan,01/01/2007,Helmets,Accessories,Southwest,North America,242.24
2007,Jan,01/01/2007,Helmets,Accessories,Canada,North America,201.87
2007,Jan,01/01/2007,Jerseys,Clothing,Northwest,North America,144.20
2007,Jan,01/01/2007,Socks,Clothing,Southeast,North America,136.80
2007,Jan,01/01/2007,Jerseys,Clothing,Central,North America,86.52
2007,Jan,01/01/2007,Helmets,Accessories,Southeast,North America,80.75
2007,Jan,01/01/2007,Socks,Clothing,Northwest,North America,74.10
2007,Jan,01/01/2007,Caps,Clothing,Southwest,North America,41.49
2007,Jan,01/01/2007,Helmets,Accessories,Northwest,North America,40.37
2007,Jan,01/01/2007,Socks,Clothing,Central,North America,34.20
2007,Jan,01/01/2007,Caps,Clothing,Canada,North America,31.12
2007,Jan,01/01/2007,Jerseys,Clothing,Northeast,North America,28.84
2007,Jan,01/01/2007,Caps,Clothing,Northeast,North America,20.75
2007,Jan,01/01/2007,Caps,Clothing,Southeast,North America,20.75
2007,Jan,01/01/2007,Helmets,Accessories,Northeast,North America,20.19
2007,Jan,01/01/2007,Socks,Clothing,Canada,North America,11.40
2007,Jan,01/01/2007,Caps,Clothing,Northwest,North America,10.37
2007,Jan,01/01/2007,Caps,Clothing,Central,North America,5.19
